#{"t_start": 1631890609.8725295, "env_id": "UCAV-v0"}
r,l,t
0.977749,494,2.3405130.820092,1501,5.332517
-4-4.032215,301,6.051595-4.293329,1453,9.85842
1.001316,466,11.031285
-4.057263,390,12.051558
1.016755,468,13.321164
-4.023152,342,14.161918
0.985335,457,15.3178270.697462,1501,17.4411530.7-4.028846,302,18.0.7875-4.-4.006263,282,18.-4.021-4.-4.032356,317,19.1.005425,498,20.893924
1.02441,475,22.115658
-4.015172,280,22.831744
-3.984987,251,23.48799
-4.005324,311,24.326748
0.719331,1501,28.041819
-4.124701,568,29.550785
-4.152575,596,31.029831
-4.002493,329,31.830691
-4.131231,615,33.309738
0.69612,1501,37.285112
-4.085428,586,38.712298
-4.138698,586,40.150453
-4.123983,494,41.349249
-4.112246,572,42.716594
-4.099246,421,43.715923
-4.097752,554,45.211925
-4.0930.717851,1501,47.882784
-4.099915,528,49.180317
-4.134263,573,50.590547
-4.093811,611,52.260085
-4.142451,542,53.635409
-4.099261,454,54.720508
-4.05874,343,55.-4.132094-4.14191,578,56.9-4.13110-4.147917,595,58.380724
-4.144188,605,59.862765
-4.106466,587,61.421597
-4.082599,606,62.872719
-4.119843,533,64.160277
-4.105876,544,65.493713
-4.08054,503,66.689517
-4.148782,624,68.214441
-4.100193,536,69.498011
-4.113813,518,70.76263
-4.127406,638,72.293538
-4.151916,615,73.798515
-4.123236,542,75.10602
-4.135256,560,76.597035
0.697721,1501,80.318089
-4.148938,579,81.697403
-4.121764,501,82.930108
-4.120198,562,84.313411
-4.143423,606,85.766527
-4.138163,538,87.116917
-4.086618,603,88.543105
-4.132211,494,89.747885
-4.110368,472,90.901801
-4.098746,581,92.365888
-4.121603,510,93.665414
-4.115075,481,94.854236
-4.152932,601,96.30835
-4.125697,580,97.664724
-4.13757,543,99.004143
-4.139409,539,100.306662
-4.126364,537,101.604195
-4.107268,604,103.034373
-4.122058,522,104.288021
-4.089089,575,105.674315
-4.122687,485,106.861143
-4.143726,593,108.408009
-4.106198,456,109.509066
-4.075859,446,110.667969
-4.106075,451,111.946551
-4.140608,576,113.441555
-4.14062,574,114.810895
-4.141487,590,116.243066
-4.10851,493,117.460811
-4.122959,501,118.676562
-4.100242,422,119.706809
-4.14157,604,121.190538
-4.131372,611,122.662604
-4.129497,591,124.0858
-4.1062,618,125.821161
-4.099826,505,127.043893
-4.084869,527,128.3135
-4.09989,599,129.772601
-4.136432,513,131.020265
-4.103384,600,132.412543
-4.095723,561,133.772907
-4.096636,507,135.001624
-4.143349,581,136.403874
-4.116802,576,137.816101
-4.101024,533,139.067755
-4.141819,600,140.686429
-4.132124,556,142.044798
-4.058659,470,143.200708
-4.126069,539,144.473306
-4.152874,631,146.011195
-4.139441,539,147.309726
-4.136722,577,148.733918
-4.102777,634,150.239894
-4.08885,602,151.682038
-4.101257,509,152.917735
-4.085404,493,154.143459
-4.070473,393,155.102895
-4.093801,568,156.641782
-4.091042,437,157.711922
-4.053847,455,158.793032
-4.136176,532,160.088569
0.780561,986,162.485163
-4.123106,462,163.630102
-4.047545,426,164.663341
-4.121334,603,166.151363
-4.087934,598,167.618443
-4.132628,505,168.858129
-4.144374,589,170.266365
-4.152274,590,171.867086
-4.12335,546,173.407968
-4.147721,578,174.899979
-4.145237,563,176.262338
-4.111074,467,177.524964
0.690483,1501,181.86636
-4.131768,488,183.09308
0.704851,1501,186.712407
-4.118723,606,188.343049
-4.122313,597,189.990645
-4.070109,422,191.316102
-4.117532,623,192.901863
-4.139307,569,194.260232
-4.101516,525,195.468004
-4.115282,510,196.747584
-4.050854,392,197.699042
-4.149768,626,199.19205
-4.119497,493,200.539449
-4.123132,557,201.932725
-4.102728,530,203.224272
-4.093283,490,204.495875
-4.113872,576,205.91907
-4.126547,607,207.329301
-4.088353,535,208.630821
-4.126643,467,209.731879
-4.124164,568,211.262786
-4.141664,552,212.772751
-4.080472,378,213.804992
-4.123091,573,215.214226
-4.139248,593,216.663352
-4.076287,506,217.9549
-4.129897,559,219.338202
-4.134154,533,220.777355
-4.123128,611,222.202546
-4.136167,593,223.594825
-4.098757,475,224.746747
-4.100956,547,226.040289
-4.093809,496,227.235095
-4.143541,556,228.586483
-4.121912,480,229.901967
-4.089385,503,231.399963
-4.114526,594,233.115378
-4.133671,583,234.512643
-4.122861,490,235.56483
-4.137917,521,236.740688
-4.078671,495,237.743009
-4.147875,585,238.910887
